student_id,knowledgecomponent_id,rating
1,4,2.0
1,6,4.0
1,7,3.0
1,8,2.0
1,11,4.0
1,12,3.0
1,94,3.0
2,76,4.0
5,4,2.0
5,6,2.0
5,11,3.0
5,14,4.0
5,15,4.0
5,28,3.0
5,29,4.0
5,30,4.0
7,4,4.0
7,6,3.0
7,8,3.0
7,15,4.0
11,4,4.0
12,4,4.0
12,6,3.75
12,7,4.0
12,8,4.0
12,9,4.0
12,10,4.0
12,11,4.0
12,12,4.0
12,13,4.0
12,14,4.0
12,15,4.0
12,16,4.0
12,17,4.0
12,18,4.0
12,19,4.0
12,20,4.0
12,23,4.0
12,24,4.0
12,25,4.0
12,26,4.0
12,27,4.0
12,28,3.0
12,29,4.0
12,30,4.0
12,31,3.0
12,32,4.0
12,33,4.0
12,34,4.0
12,35,4.0
12,36,4.0
12,37,4.0
12,38,4.0
12,39,4.0
12,40,4.0
12,41,4.0
12,42,4.0
12,43,4.0
12,44,4.0
16,4,4.0
16,6,3.4
16,7,4.0
16,8,4.0
16,9,4.0
16,10,4.0
16,11,4.0
16,12,3.33
16,13,4.0
16,23,4.0
16,24,3.0
16,27,4.0
16,50,4.0
16,51,4.0
16,64,3.0
16,65,4.0
16,66,4.0
16,67,3.0
16,68,2.0
16,73,2.67
16,74,2.0
16,75,2.67
16,76,2.94
16,77,3.2
16,78,3.38
16,79,2.67
16,80,3.0
16,82,2.5
16,83,2.5
16,84,2.0
16,85,3.0
16,86,2.5
16,87,2.0
16,88,2.0
16,89,3.0
17,4,4.0
17,6,4.0
18,4,4.0
20,4,4.0
21,4,4.0
22,4,4.0
22,6,3.0
22,7,4.0
22,8,4.0
22,24,1.0
22,48,2.0
22,50,2.0
23,4,4.0
23,6,4.0
23,7,4.0
23,8,4.0
23,9,4.0
23,10,4.0
23,11,4.0
23,12,4.0
23,13,4.0
23,14,3.33
23,15,4.0
23,16,4.0
23,17,4.0
23,27,2.0
26,4,3.5
26,6,2.0
26,103,4.0
29,4,3.0
30,4,3.0
30,80,4.0
30,83,4.0
31,16,4.0
31,48,3.66
31,51,4.0
31,52,3.5
31,59,2.0
31,63,4.0
33,4,4.0
36,4,3.5
36,6,4.0
36,29,4.0
37,4,4.0
37,6,3.6
37,7,4.0
37,8,4.0
37,9,4.0
37,10,4.0
37,11,4.0
37,12,4.0
37,13,4.0
37,14,4.0
37,15,4.0
37,16,4.0
37,17,4.0
37,18,4.0
37,19,4.0
37,20,4.0
37,23,4.0
37,24,3.5
37,25,4.0
37,26,2.0
37,27,4.0
37,28,4.0
37,29,3.9
37,30,4.0
37,31,2.0
37,32,4.0
37,33,4.0
37,34,4.0
37,35,4.0
37,36,4.0
37,37,4.0
37,38,4.0
37,39,4.0
37,40,3.0
37,41,4.0
37,42,1.0
37,43,1.0
37,44,4.0
37,48,3.0
37,50,4.0
37,51,4.0
37,52,4.0
37,55,4.0
37,58,4.0
37,59,2.0
37,60,4.0
37,63,2.5
37,64,4.0
37,65,4.0
37,66,4.0
37,67,4.0
37,68,4.0
37,69,4.0
37,70,4.0
37,73,4.0
37,74,3.5
37,75,3.89
37,76,3.94
37,77,3.8
37,78,4.0
37,79,3.66
37,80,4.0
37,82,2.0
37,83,3.0
37,84,3.66
37,85,3.0
37,86,3.66
37,87,4.0
37,88,2.0
37,89,3.5
37,90,4.0
37,91,3.75
37,93,1.0
37,94,4.0
37,95,4.0
37,96,3.0
37,97,4.0
37,98,4.0
37,99,4.0
37,100,4.0
37,101,3.0
